Datum von;Datum bis;Deutschland/Luxemburg [€/MWh] Originalauflösungen;∅ Anrainer DE/LU [€/MWh] Originalauflösungen;Belgien [€/MWh] Originalauflösungen;Dänemark 1 [€/MWh] Originalauflösungen;Dänemark 2 [€/MWh] Originalauflösungen;Frankreich [€/MWh] Originalauflösungen;Niederlande [€/MWh] Originalauflösungen;Norwegen 2 [€/MWh] Originalauflösungen;Österreich [€/MWh] Originalauflösungen;Polen [€/MWh] Originalauflösungen;Schweden 4 [€/MWh] Originalauflösungen;Schweiz [€/MWh] Originalauflösungen;Tschechien [€/MWh] Originalauflösungen;DE/AT/LU [€/MWh] Originalauflösungen;Italien (Nord) [€/MWh] Originalauflösungen;Slowenien [€/MWh] Originalauflösungen;Ungarn [€/MWh] Originalauflösungen
01.06.2025 00:00;01.06.2025 00:15;92,53;87,24;103,76;92,53;92,54;60,00;98,40;74,05;91,87;95,79;73,30;85,49;91,87;-;125,00;93,45;100,68
01.06.2025 00:15;01.06.2025 00:30;92,53;87,24;103,76;92,53;92,54;60,00;98,40;74,05;91,87;95,79;73,30;85,49;91,87;-;125,00;93,45;100,68
01.06.2025 00:30;01.06.2025 00:45;92,53;87,24;103,76;92,53;92,54;60,00;98,40;74,05;91,87;95,79;73,30;85,49;91,87;-;125,00;93,45;100,68
01.06.2025 00:45;01.06.2025 01:00;92,53;87,24;103,76;92,53;92,54;60,00;98,40;74,05;91,87;95,79;73,30;85,49;91,87;-;125,00;93,45;100,68
01.06.2025 01:00;01.06.2025 01:15;85,22;78,31;81,28;85,22;85,22;36,07;85,22;69,19;84,94;94,59;70,43;83,97;85,29;-;124,44;85,05;85,16
01.06.2025 01:15;01.06.2025 01:30;85,22;78,31;81,28;85,22;85,22;36,07;85,22;69,19;84,94;94,59;70,43;83,97;85,29;-;124,44;85,05;85,16
01.06.2025 01:30;01.06.2025 01:45;85,22;78,31;81,28;85,22;85,22;36,07;85,22;69,19;84,94;94,59;70,43;83,97;85,29;-;124,44;85,05;85,16
01.06.2025 01:45;01.06.2025 02:00;85,22;78,31;81,28;85,22;85,22;36,07;85,22;69,19;84,94;94,59;70,43;83,97;85,29;-;124,44;85,05;85,16
01.06.2025 02:00;01.06.2025 02:15;77,13;73,29;79,63;77,13;77,13;28,27;86,56;68,38;73,04;90,38;70,49;76,03;79,10;-;120,00;73,97;80,71
01.06.2025 02:15;01.06.2025 02:30;77,13;73,29;79,63;77,13;77,13;28,27;86,56;68,38;73,04;90,38;70,49;76,03;79,10;-;120,00;73,97;80,71
01.06.2025 02:30;01.06.2025 02:45;77,13;73,29;79,63;77,13;77,13;28,27;86,56;68,38;73,04;90,38;70,49;76,03;79,10;-;120,00;73,97;80,71
01.06.2025 02:45;01.06.2025 03:00;77,13;73,29;79,63;77,13;77,13;28,27;86,56;68,38;73,04;90,38;70,49;76,03;79,10;-;120,00;73,97;80,71
01.06.2025 03:00;01.06.2025 03:15;74,09;69,84;74,48;74,09;74,09;24,32;80,60;62,40;69,66;92,07;72,28;70,46;73,77;-;118,00;69,76;73,56
01.06.2025 03:15;01.06.2025 03:30;74,09;69,84;74,48;74,09;74,09;24,32;80,60;62,40;69,66;92,07;72,28;70,46;73,77;-;118,00;69,76;73,56
01.06.2025 03:30;01.06.2025 03:45;74,09;69,84;74,48;74,09;74,09;24,32;80,60;62,40;69,66;92,07;72,28;70,46;73,77;-;118,00;69,76;73,56
01.06.2025 03:45;01.06.2025 04:00;74,09;69,84;74,48;74,09;74,09;24,32;80,60;62,40;69,66;92,07;72,28;70,46;73,77;-;118,00;69,76;73,56
01.06.2025 04:00;01.06.2025 04:15;72,66;68,55;72,74;72,66;72,66;24,95;78,53;62,41;67,71;96,72;64,52;69,80;71,34;-;120,00;67,44;70,28
01.06.2025 04:15;01.06.2025 04:30;72,66;68,55;72,74;72,66;72,66;24,95;78,53;62,41;67,71;96,72;64,52;69,80;71,34;-;120,00;67,44;70,28
01.06.2025 04:30;01.06.2025 04:45;72,66;68,55;72,74;72,66;72,66;24,95;78,53;62,41;67,71;96,72;64,52;69,80;71,34;-;120,00;67,44;70,28
01.06.2025 04:45;01.06.2025 05:00;72,66;68,55;72,74;72,66;72,66;24,95;78,53;62,41;67,71;96,72;64,52;69,80;71,34;-;120,00;67,44;70,28
01.06.2025 05:00;01.06.2025 05:15;66,11;62,58;65,83;66,11;54,59;24,92;70,66;52,95;62,25;105,10;54,68;66,11;65,15;-;116,50;61,95;63,64
01.06.2025 05:15;01.06.2025 05:30;66,11;62,58;65,83;66,11;54,59;24,92;70,66;52,95;62,25;105,10;54,68;66,11;65,15;-;116,50;61,95;63,64
01.06.2025 05:30;01.06.2025 05:45;66,11;62,58;65,83;66,11;54,59;24,92;70,66;52,95;62,25;105,10;54,68;66,11;65,15;-;116,50;61,95;63,64
01.06.2025 05:45;01.06.2025 06:00;66,11;62,58;65,83;66,11;54,59;24,92;70,66;52,95;62,25;105,10;54,68;66,11;65,15;-;116,50;61,95;63,64
01.06.2025 06:00;01.06.2025 06:15;35,84;43,49;36,16;35,84;34,98;26,68;37,45;35,75;34,73;105,69;34,98;60,70;35,45;-;104,51;34,42;34,96
